iter	Passed	Remaining
0	1	190
1	3	175
2	5	164
3	6	164
4	8	158
5	9	152
6	11	148
7	12	142
8	13	136
9	14	131
10	15	127
11	16	123
12	17	120
13	18	116
14	20	114
15	21	112
16	22	110
17	23	107
18	24	105
19	25	103
20	26	101
21	28	99
22	29	97
23	30	95
24	31	94
25	32	92
26	33	91
27	34	89
28	36	88
29	37	86
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	70
42	52	68
43	53	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	61	57
52	62	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	115	1
99	116	0
